帳戶,幣種,記錄類型,主類別,子類別,金額,手續費,折扣,名稱,商家,日期,時間
現金,TWD,支出,飲食,飲料,-28,0,0,,,2020/1/21,13:51
現金,TWD,支出,飲食,點心,-51,0,12,,全家便利商店,2020/1/22,07:43
現金,TWD,支出,飲食,點心,-98,0,0,,全家便利商店,2020/1/22,07:47
現金,TWD,支出,飲食,早餐,-210,0,0,,,2020/1/23,15:21
現金,TWD,支出,旅行,門票,-560,0,0,,,2020/1/23,15:21
現金,TWD,支出,飲食,午餐,-679,0,0,,,2020/1/23,15:21
現金,TWD,支出,飲食,飲料,-30,0,2,,品盈飲品,2020/1/23,21:11
現金,TWD,支出,飲食,午餐,-50,0,0,,冠友生活,2020/1/24,16:30
現金,TWD,支出,飲食,家庭聚餐,-6000,0,0,,,2020/1/24,22:03
現金,TWD,支出,飲食,飲料,-50,0,0,,,2020/1/25,10:22
現金,TWD,支出,飲食,午餐,-330,0,0,,,2020/1/25,15:17
現金,TWD,支出,飲食,午餐,-140,0,0,,,2020/1/25,15:17
現金,TWD,支出,飲食,飲料,-35,0,0,,乙旺商行,2020/1/26,11:15
現金,TWD,支出,飲食,午餐,-155,0,0,,新光三越百貨,2020/1/26,17:29
現金,TWD,支出,飲食,飲料,-101,0,0,,新光三越百貨,2020/1/26,17:32
現金,TWD,支出,購物,鞋子,-5450,0,0,,,2020/1/26,20:15
現金,TWD,支出,購物,配件,-1960,0,0,,,2020/1/26,20:16
現金,TWD,支出,飲食,早餐,-80,0,0,,,2020/1/27,10:14
現金,TWD,支出,飲食,午餐,-588,0,0,,宜家家居,2020/1/27,13:26
現金,TWD,支出,飲食,午餐,-588,0,0,,,2020/1/27,14:57
現金,TWD,支出,飲食,飲料,-70,0,0,,易辰商行,2020/1/27,16:49
現金,TWD,支出,飲食,晚餐,-30,0,0,,高雄港區土地,2020/1/27,17:52
現金,TWD,支出,飲食,晚餐,-200,0,0,,,2020/1/27,23:20
現金,TWD,支出,飲食,飲料,-25,0,0,,,2020/1/27,23:20
現金,TWD,支出,飲食,午餐,-510,0,0,,,2020/1/28,11:32
現金,TWD,支出,飲食,點心,-32,0,0,,,2020/1/28,11:33
現金,TWD,支出,飲食,早餐,-85,0,0,,,2020/1/28,11:33
現金,TWD,支出,飲食,午餐,-40,0,0,,欣玥冷飲店,2020/1/29,14:31
現金,TWD,支出,飲食,早餐,-25,0,0,,7-ELEVEN,2020/1/29,14:34
現金,TWD,支出,飲食,點心,-301,0,10,,全聯,2020/1/29,19:04
現金,TWD,支出,飲食,飲料,-35,0,0,,,2020/1/29,21:19
現金,TWD,支出,飲食,飲料,-40,0,0,,,2020/1/29,21:20
現金,TWD,支出,飲食,晚餐,-723,0,0,,家福,2020/1/30,20:04
現金,TWD,支出,飲食,飲料,-30,0,12,,迷客夏,2020/1/30,20:28
現金,TWD,支出,飲食,飲料,-31,0,0,,全聯,2020/1/30,20:30
現金,TWD,支出,飲食,晚餐,-740,0,0,,,2020/1/30,21:02
現金,TWD,支出,飲食,午餐,-80,0,0,,,2020/1/30,21:02
現金,TWD,支出,飲食,晚餐,-230,0,0,,,2020/1/31,00:32
現金,TWD,支出,飲食,點心,-255,0,0,,,2020/1/31,00:33
現金,TWD,支出,飲食,午餐,-40,0,0,,,2020/1/31,00:34
現金,TWD,支出,飲食,飲料,-35,0,0,,,2020/1/31,00:59
